Actual,LSVR,Ridge,Lasso,Bay,Ensemble,MLR
71.4180,71.2464,71.2271,71.2595,71.2274,71.2434,
71.2750,71.3812,71.3630,71.3948,71.3635,71.3792,
71.1550,71.2392,71.2213,71.2526,71.2217,71.2371,
71.4510,71.1197,71.1018,71.1329,71.1020,71.1174,
71.5490,71.4137,71.3974,71.4276,71.3986,71.4131,
71.4390,71.5118,71.4957,71.5259,71.4969,71.5114,
71.9300,71.4033,71.3877,71.4174,71.3884,71.4029,
71.5130,71.8890,71.8721,71.9035,71.8742,71.8889,
72.0250,71.4743,71.4548,71.4878,71.4556,71.4717,
71.5430,71.9820,71.9598,71.9957,71.9612,71.9784,
71.8290,71.5039,71.4818,71.5170,71.4821,71.4995,
71.6900,71.7898,71.7688,71.8036,71.7692,71.7864,
71.4530,71.6524,71.6316,71.6662,71.6316,71.6489,
71.9690,71.4168,71.3968,71.4302,71.3966,71.4134,
72.1700,71.9270,71.9056,71.9409,71.9068,71.9238,
71.9890,72.1253,72.1010,72.1389,72.1024,72.1207,
71.9280,71.9478,71.9241,71.9614,71.9245,71.9430,
71.6450,71.8888,71.8682,71.9029,71.8687,71.8858,
71.7780,71.6069,71.5874,71.6207,71.5879,71.6043,
71.8750,71.7405,71.7234,71.7550,71.7242,71.7396,
71.5770,71.8377,71.8225,71.8527,71.8237,71.8382,
70.9670,71.5411,71.5252,71.5554,71.5260,71.5407,
70.9850,70.9337,70.9156,70.9466,70.9152,70.9309,
71.5800,70.9513,70.9342,70.9644,70.9342,70.9493,
71.4900,71.5481,71.5362,71.5634,71.5364,71.5499,
71.1450,71.4594,71.4477,71.4746,71.4476,71.4611,
71.3750,71.1144,71.1007,71.1286,71.1002,71.1144,
71.0750,71.3423,71.3295,71.3570,71.3299,71.3434,
70.7990,71.0453,71.0328,71.0596,71.0324,71.0460,
70.9710,70.7712,70.7568,70.7848,70.7554,70.7701,
70.9880,70.9412,70.9262,70.9549,70.9252,70.9400,
70.9640,70.9561,70.9395,70.9695,70.9388,70.9541,
70.5090,70.9320,70.9161,70.9454,70.9157,70.9305,
70.6450,70.4807,70.4643,70.4933,70.4627,70.4780,
71.1100,70.6146,70.5986,70.6274,70.5978,70.6126,
71.0300,71.0741,71.0573,71.0873,71.0581,71.0727,
70.8250,70.9926,70.9700,71.0046,70.9699,70.9873,
70.9750,70.7903,70.7684,70.8022,70.7675,70.7849,
71.2200,70.9397,70.9187,70.9520,70.9183,70.9351,
71.1200,71.1811,71.1584,71.1934,71.1587,71.1760,
70.9900,71.0830,71.0612,71.0954,71.0610,71.0782,
70.9240,70.9539,70.9323,70.9661,70.9319,70.9490,
71.2370,70.8901,70.8714,70.9028,70.8711,70.8869,
71.5000,71.1993,71.1795,71.2121,71.1801,71.1961,
71.3640,71.4596,71.4392,71.4727,71.4404,71.4566,
71.1300,71.3247,71.3045,71.3376,71.3054,71.3215,
71.0900,71.0927,71.0722,71.1053,71.0725,71.0889,
70.9250,71.0543,71.0349,71.0671,71.0349,71.0510,
70.8090,70.8898,70.8701,70.9022,70.8699,70.8861,
70.7250,70.7758,70.7572,70.7883,70.7567,70.7725,
70.9650,70.6934,70.6747,70.7059,70.6736,70.6897,
70.8200,70.9329,70.9153,70.9460,70.9145,70.9302,
70.7450,70.7895,70.7708,70.8022,70.7692,70.7857,
70.8900,70.7150,70.6980,70.7279,70.6967,70.7123,
70.9530,70.8575,70.8400,70.8704,70.8395,70.8549,
70.9800,70.9198,70.9018,70.9327,70.9014,70.9170,
70.7600,70.9460,70.9260,70.9586,70.9252,70.9419,
70.7890,70.7284,70.7083,70.7408,70.7068,70.7238,
70.7750,70.7594,70.7413,70.7723,70.7395,70.7559,
71.0100,70.7456,70.7287,70.7587,70.7272,70.7430,
71.0470,70.9786,70.9623,70.9920,70.9616,70.9768,
71.3600,71.0153,70.9999,71.0290,70.9995,71.0142,
71.5700,71.3246,71.3097,71.3387,71.3105,71.3246,
71.7900,71.5331,71.5186,71.5475,71.5200,71.5338,
72.1500,71.7516,71.7379,71.7665,71.7400,71.7532,
71.9660,72.1081,72.0929,72.1233,72.0956,72.1094,
71.6500,71.9268,71.9115,71.9418,71.9133,71.9275,
71.9450,71.6131,71.5979,71.6276,71.5991,71.6134,
71.8300,71.9057,71.8909,71.9207,71.8929,71.9068,
71.7460,71.7905,71.7742,71.8051,71.7759,71.7905,
71.7500,71.7071,71.6903,71.7215,71.6917,71.7066,
71.7920,71.7128,71.6979,71.7276,71.6992,71.7134,
71.6890,71.7553,71.7414,71.7703,71.7428,71.7566,
71.4800,71.6525,71.6391,71.6674,71.6405,71.6540,
71.2600,71.4458,71.4331,71.4606,71.4340,71.4473,
71.5050,71.2278,71.2151,71.2423,71.2155,71.2289,
71.7490,71.4703,71.4573,71.4851,71.4583,71.4717,
71.6340,71.7108,71.6960,71.7255,71.6977,71.7116,
71.7400,71.5961,71.5804,71.6104,71.5819,71.5962,
71.4740,71.7009,71.6840,71.7152,71.6855,71.7003,
71.2520,71.4395,71.4238,71.4538,71.4241,71.4389,
71.2830,71.2206,71.2063,71.2348,71.2059,71.2204,
70.9700,71.2511,71.2378,71.2656,71.2378,71.2517,
70.8100,70.9411,70.9288,70.9553,70.9282,70.9417,
70.7100,70.7827,70.7705,70.7967,70.7695,70.7831,
70.5700,70.6833,70.6707,70.6971,70.6694,70.6832,
70.7980,70.5452,70.5325,70.5588,70.5305,70.5447,
70.9150,70.7716,70.7599,70.7858,70.7587,70.7722,
71.0350,70.8882,70.8762,70.9026,70.8749,70.8887,
